,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates of country-level lifetime risk (LTR) of maternal death 2000-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - April 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO Code,Country,UNICEF Programme Region,UNICEF Reporting Region,UNICEF Sub-Reporting Region,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,Afghanistan,South Asia,South Asia,South Asia,10,11,11,12,13,14,14,15,17,18,19,20,21,22,24,25,26,29,31,33,32,31,37,40
ALB,Albania,Europe and Central Asia,Europe and Central Asia,Eastern Europe and Central Asia,3064,3482,3906,4024,4469,5013,5731,6541,7143,7314,7308,7215,6705,6448,6589,7308,8190,9113,10067,10478,10703,5425,9461,10999
DZA,Algeria,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,337,374,429,428,464,470,467,457,441,436,432,433,413,414,401,406,411,420,443,465,364,465,590,633
AND,Andorra,Industrialized,Europe and Central Asia,Western Europe,5338,5430,5860,7162,7206,6501,7692,7329,7114,7389,6569,7501,7620,9964,9771,9363,10165,9600,10736,11054,2469,6619,7014,10866
AGO,Angola,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,25,26,28,31,33,36,38,41,45,48,52,56,61,65,66,70,75,82,87,91,95,89,103,106
ATG,Antigua and Barbuda,Latin America and the Caribbean,Latin America and Caribbean,Latin America and Caribbean,1254,1442,1508,1682,1731,1837,1911,1855,1759,1761,2045,2120,2281,2339,2368,2476,2821,2486,2737,2423,2099,2274,2016,2108
ARG,Argentina,Latin America and the Caribbean,Latin America and Caribbean,Latin America and Caribbean,702,688,710,701,735,748,723,711,721,699,788,896,918,956,1008,1155,1188,1272,1336,1559,1691,894,1866,2189
ARM,Armenia,Europe and Central Asia,Europe and Central Asia,Eastern Europe and Central Asia,1901,2039,2116,2071,2094,2166,2224,2218,2218,2218,2266,2264,2261,2277,2337,2463,2532,2749,2831,2880,1564,1144,2532,3556
AUS,Australia,Industrialized,East Asia and Pacific,East Asia and Pacific,9627,11212,11692,11920,12537,12915,12528,11553,11597,10960,10917,10229,10154,10174,10377,10447,10378,11119,11597,12172,13011,15036,18170,28182
AUT,Austria,Industrialized,Europe and Central Asia,Western Europe,12376,13981,13617,13679,15021,14328,15268,15530,15673,14960,14015,13860,14260,13976,12708,12260,11924,12224,11300,11872,14258,12918,10749,13905
